Municipality,Population,Officer Count,Adj. Str,Pop/Officer,# Of Offences,Crime Rate,Case Load,Total Costs,Cost per capita,Population/Officer,Officer/10k Population,Spend/Offence,Spend/Crime Rate,,
Ladysmith,9895,8,8,1237,526,53,66," $1,809,172.00 ", $183.00 ,1236.875,8.08," $3,439.49 ","$34,135.32 ",,
NorthSaanich,13349,12,12,1112,356,27,30," $2,399,698.00 ", $180.00 ,1112.416667,8.99," $6,740.72 ","$88,877.70 ",,
Peachland,6197,4,4,1549,222,36,56," $1,084,656.00 ", $175.00 ,1549.25,6.45," $4,885.84 ","$30,129.33 ",,
ViewRoyal,12616,14,14,879,628,50,47," $2,178,355.00 ", $173.00 ,901.1428571,11.10," $3,468.72 ","$43,567.10 ",,
Kimberley,9011,8,8,1126,308,34,39," $1,431,090.00 ", $159.00 ,1126.375,8.88," $4,646.40 ","$42,090.88 ",,
Armstrong,5778,4,4,1445,264,46,66," $906,529.00 ", $157.00 ,1444.5,6.92," $3,433.82 ","$19,707.15 ",,
Kent10,8100,6,7,1239,408,50,62," $1,222,293.00 ", $151.00 ,1157.142857,7.41," $2,995.82 ","$24,445.86 ",,
QualicumBeach,9360,8,8,1170,340,36,43," $1,361,236.00 ", $145.00 ,1170,8.55," $4,003.64 ","$37,812.11 ",,
Comox,15969,12,12,1377,554,35,48," $2,188,037.00 ", $137.00 ,1330.75,7.51," $3,949.53 ","$62,515.34 ",,
Coldstream,11548,7,7,1650,332,29,47," $1,546,560.00 ", $134.00 ,1649.714286,6.06," $4,658.31 ","$53,329.66 ",,
Summerland,12492,9,9,1388,631,51,70," $1,645,468.00 ", $132.00 ,1388,7.20," $2,607.71 ","$32,264.08 ",,
Spallumcheen,5786,4,4,1447,203,35,51," $743,412.00 ", $128.00 ,1446.5,6.91," $3,662.13 ","$21,240.34 ",,
Metchosin58,5332,5,5,1066,139,26,28," $666,924.00 ", $125.00 ,1066.4,9.38," $4,798.01 ","$25,650.92 ",,
